"cv_texto","talleres","competencias"
"Desarrollador full-stack con experiencia en React, Node.js y APIs REST. Implementé features complejas con testing automatizado y CI/CD.","react, node, apis, testing","Ingeniería de Software"
"Backend engineer: diseñé microservicios escalables en Python y Java con patrones SOLID y clean architecture.","python, java, microservicios","Ingeniería de Software"
"Frontend specialist: creé SPAs con Vue y Redux, optimización de bundle y lazy loading para mejorar performance.","vue, redux, webpack","Ingeniería de Software"
"Mobile developer: construí apps nativas en Android y iOS con integración de APIs y offline-first.","android, ios, mobile","Ingeniería de Software"
"QA automation engineer: desarrollé frameworks de testing E2E con Selenium y Cypress, reportes automatizados.","selenium, cypress, qa automation","Ingeniería de Software"
"Software architect: lideré diseño de plataforma SaaS multi-tenant con foco en escalabilidad y seguridad.","arquitectura, saas, escalabilidad","Ingeniería de Software"
"DevOps engineer: automaticé despliegues con Terraform y Ansible, infraestructura como código en AWS.","terraform, ansible, aws","DevOps/SRE"
"SRE: definí SLO/SLI, implementé alertas proactivas y mejoras de confiabilidad con chaos engineering.","slo, sli, chaos engineering","DevOps/SRE"
"Platform engineer: gestioné clusters Kubernetes en producción con monitoreo Prometheus y Grafana.","kubernetes, prometheus, grafana","DevOps/SRE"
"Release engineer: coordiné pipelines CI/CD multi-región con blue/green deploy y rollback automatizado.","cicd, blue-green, gitops","DevOps/SRE"
"Cloud engineer: migré workloads on-premise a Azure con contenedores y orquestación AKS.","azure, aks, contenedores","DevOps/SRE"
"Security operations: analicé logs de SIEM, detecté y mitigé amenazas APT con respuesta a incidentes.","siem, apt, incident response","Ciberseguridad"
"Penetration tester: realicé pentests de aplicaciones web y móviles, informes de vulnerabilidades y remediación.","pentest, owasp, vulnerabilidades","Ciberseguridad"
"Security analyst: implementé hardening CIS, gestión de parches y auditorías de cumplimiento SOC2.","hardening, cis, soc2","Ciberseguridad"
"Cybersecurity consultant: diseñé políticas de seguridad y programas de awareness para reducir riesgo humano.","politicas, awareness, risk","Ciberseguridad"
"Application security: integré SAST/DAST en pipelines, secure code reviews y threat modeling.","sast, dast, threat modeling","Ciberseguridad"
"Data engineer: construí pipelines ETL en Airflow y Spark procesando terabytes diarios con calidad de datos.","airflow, spark, etl","Ingeniería de Datos"
"Analytics engineer: modelé data warehouses con dbt, métricas de negocio y gobernanza de datos.","dbt, data warehouse, governance","Ingeniería de Datos"
"ML engineer: desplegué modelos en producción con MLflow y monitoreo de drift, reentrenamiento automatizado.","mlflow, ml ops, drift","Ingeniería de Datos"
"Big data specialist: gestioné clusters Hadoop y optimicé queries en BigQuery para reducir costos.","hadoop, bigquery, optimizacion","Ingeniería de Datos"
"DataOps: versionado de datasets con DVC, pruebas de calidad con Great Expectations.","dvc, great expectations, dataops","Ingeniería de Datos"
